"draw_date";"company_code";"number";"category";"position"
"2018-01-16";"MAG";"9427";"CONS";5
"2018-01-16";"MAG";"0928";"CONS";6
"2018-01-16";"MAG";"0163";"CONS";7
"2018-01-16";"MAG";"0020";"CONS";8
"2018-01-16";"MAG";"9630";"CONS";9
"2018-01-16";"MAG";"4430";"CONS";10
"2018-01-16";"ST";"9765";"FST";1
"2018-01-16";"ST";"1688";"SCD";2
"2018-01-16";"ST";"3680";"TRD";3
"2018-01-16";"ST";"6745";"SP";1
"2018-01-16";"ST";"2708";"SP";2
"2018-01-16";"ST";"7817";"SP";3
"2018-01-16";"ST";"----";"SP";4
"2018-01-16";"ST";"4939";"SP";5
"2018-01-16";"ST";"----";"SP";6
"2018-01-16";"ST";"1533";"SP";7
"2018-01-16";"ST";"5221";"SP";8
"2018-01-16";"ST";"----";"SP";9
"2018-01-16";"ST";"2662";"SP";10
"2018-01-16";"ST";"3694";"SP";11
"2018-01-16";"ST";"4911";"SP";12
"2018-01-16";"ST";"6270";"SP";13
"2018-01-16";"ST";"1185";"CONS";1
"2018-01-16";"ST";"0060";"CONS";2
"2018-01-16";"ST";"5254";"CONS";3
"2018-01-16";"ST";"0822";"CONS";4
"2018-01-16";"ST";"2578";"CONS";5
"2018-01-16";"ST";"9919";"CONS";6
"2018-01-16";"ST";"5985";"CONS";7
"2018-01-16";"ST";"6368";"CONS";8
"2018-01-16";"ST";"1003";"CONS";9
"2018-01-16";"ST";"0086";"CONS";10
"2018-01-17";"DMC";"9563";"FST";1
"2018-01-17";"DMC";"1410";"SCD";2
"2018-01-17";"DMC";"0478";"TRD";3
"2018-01-17";"DMC";"6429";"SP";1
"2018-01-17";"DMC";"3548";"SP";2
"2018-01-17";"DMC";"4955";"SP";3
"2018-01-17";"DMC";"6468";"SP";4
"2018-01-17";"DMC";"2012";"SP";5
"2018-01-17";"DMC";"7147";"SP";6
"2018-01-17";"DMC";"6067";"SP";7
"2018-01-17";"DMC";"2951";"SP";8
"2018-01-17";"DMC";"0366";"SP";9
"2018-01-17";"DMC";"6856";"SP";10
"2018-01-17";"DMC";"9884";"CONS";1
"2018-01-17";"DMC";"7943";"CONS";2
"2018-01-17";"DMC";"2714";"CONS";3
"2018-01-17";"DMC";"1323";"CONS";4
"2018-01-17";"DMC";"9019";"CONS";5
"2018-01-17";"DMC";"3393";"CONS";6
"2018-01-17";"DMC";"4482";"CONS";7
"2018-01-17";"DMC";"8386";"CONS";8
"2018-01-17";"DMC";"0571";"CONS";9
"2018-01-17";"DMC";"8855";"CONS";10
"2018-01-17";"MAG";"1395";"FST";1
"2018-01-17";"MAG";"2858";"SCD";2
"2018-01-17";"MAG";"7604";"TRD";3
"2018-01-17";"MAG";"9801";"SP";1
"2018-01-17";"MAG";"4607";"SP";2
"2018-01-17";"MAG";"----";"SP";3
"2018-01-17";"MAG";"----";"SP";4
"2018-01-17";"MAG";"1869";"SP";5
"2018-01-17";"MAG";"2304";"SP";6
"2018-01-17";"MAG";"0159";"SP";7
"2018-01-17";"MAG";"2624";"SP";8
"2018-01-17";"MAG";"6691";"SP";9
"2018-01-17";"MAG";"7701";"SP";10
"2018-01-17";"MAG";"1273";"SP";11
"2018-01-17";"MAG";"----";"SP";12
"2018-01-17";"MAG";"4392";"SP";13
"2018-01-17";"MAG";"2703";"CONS";1
"2018-01-17";"MAG";"2224";"CONS";2
"2018-01-17";"MAG";"7452";"CONS";3
"2018-01-17";"MAG";"3102";"CONS";4
"2018-01-17";"MAG";"1347";"CONS";5
"2018-01-17";"MAG";"4337";"CONS";6
"2018-01-17";"MAG";"3642";"CONS";7
"2018-01-17";"MAG";"6530";"CONS";8
"2018-01-17";"MAG";"0793";"CONS";9
"2018-01-17";"MAG";"1091";"CONS";10
"2018-01-17";"ST";"4471";"FST";1
"2018-01-17";"ST";"2435";"SCD";2
"2018-01-17";"ST";"2016";"TRD";3
"2018-01-17";"ST";"6342";"SP";1
"2018-01-17";"ST";"2791";"SP";2
"2018-01-17";"ST";"----";"SP";3
"2018-01-17";"ST";"0700";"SP";4
"2018-01-17";"ST";"8494";"SP";5
"2018-01-17";"ST";"4474";"SP";6
"2018-01-17";"ST";"1952";"SP";7
"2018-01-17";"ST";"6199";"SP";8
"2018-01-17";"ST";"7409";"SP";9
"2018-01-17";"ST";"3766";"SP";10
"2018-01-17";"ST";"----";"SP";11
"2018-01-17";"ST";"2982";"SP";12
"2018-01-17";"ST";"----";"SP";13
"2018-01-17";"ST";"2770";"CONS";1
"2018-01-17";"ST";"3800";"CONS";2
"2018-01-17";"ST";"2320";"CONS";3
"2018-01-17";"ST";"4794";"CONS";4
"2018-01-17";"ST";"4541";"CONS";5
"2018-01-17";"ST";"1966";"CONS";6
"2018-01-17";"ST";"1517";"CONS";7
"2018-01-17";"ST";"1743";"CONS";8
"2018-01-17";"ST";"6544";"CONS";9
"2018-01-17";"ST";"6451";"CONS";10
"2018-01-20";"DMC";"4975";"FST";1
